
2025/06/01 (20:45:38) | ===> btop++ v.1.4.0
2025/06/01 (20:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/01 (20:46:07) | ===> btop++ v.1.4.0
2025/06/01 (20:46:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/01 (20:46:17) | ===> btop++ v.1.4.0
2025/06/01 (20:46:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/01 (21:38:55) | ===> btop++ v.1.4.0
2025/06/01 (21:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/01 (21:43:13) | ===> btop++ v.1.4.0
2025/06/01 (21:43:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/06 (17:05:13) | ===> btop++ v.1.4.0
2025/06/06 (17:05:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/06 (19:37:28) | ===> btop++ v.1.4.0
2025/06/06 (19:37:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (10:25:08) | ===> btop++ v.1.4.0
2025/06/14 (10:25:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (15:48:37) | ===> btop++ v.1.4.0
2025/06/14 (15:48:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/15 (10:31:20) | ===> btop++ v.1.4.0
2025/06/15 (10:31:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/15 (11:27:12) | ===> btop++ v.1.4.0
2025/06/15 (11:27:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/18 (12:34:28) | ===> btop++ v.1.4.0
2025/06/18 (12:34:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/18 (12:36:14) | ===> btop++ v.1.4.0
2025/06/18 (12:36:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/25 (13:18:34) | ===> btop++ v.1.4.0
2025/06/25 (13:18:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/28 (08:36:01) | ===> btop++ v.1.4.0
2025/06/28 (08:36:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/04 (10:12:42) | ===> btop++ v.1.4.0
2025/07/04 (10:12:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/05 (16:53:38) | ===> btop++ v.1.4.0
2025/07/05 (16:53:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/07 (14:21:56) | ===> btop++ v.1.4.0
2025/07/07 (14:21:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/07 (14:22:17) | ===> btop++ v.1.4.0
2025/07/07 (14:22:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/07 (15:40:28) | WARNING: Failed to join _runner thread on exit!

2025/07/09 (14:52:11) | ===> btop++ v.1.4.0
2025/07/09 (14:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/09 (20:33:17) | ===> btop++ v.1.4.0
2025/07/09 (20:33:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/09 (20:47:10) | ===> btop++ v.1.4.0
2025/07/09 (20:47:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/11 (09:27:55) | ===> btop++ v.1.4.0
2025/07/11 (09:27:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/11 (11:46:59) | ===> btop++ v.1.4.0
2025/07/11 (11:46:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/11 (11:47:41) | WARNING: Failed to join _runner thread on exit!

2025/07/11 (11:47:43) | ===> btop++ v.1.4.0
2025/07/11 (11:47:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/11 (12:28:00) | ===> btop++ v.1.4.0
2025/07/11 (12:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/11 (12:28:18) | ===> btop++ v.1.4.0
2025/07/11 (12:28:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/11 (12:28:27) | WARNING: Failed to join _runner thread on exit!

2025/09/18 (09:56:39) | ===> btop++ v.1.4.0
2025/09/18 (09:56:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/09/25 (10:55:24) | ===> btop++ v.1.4.0
2025/09/25 (10:55:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/09/25 (10:55:29) | ERROR: Stall in Runner thread, restarting!
2025/09/25 (10:55:35) | ERROR: Stall in Runner thread, restarting!
2025/09/25 (10:56:06) | ERROR: Stall in Runner thread, restarting!
2025/09/25 (10:56:31) | ERROR: Stall in Runner thread, restarting!

2025/09/26 (13:21:21) | ===> btop++ v.1.4.0
2025/09/26 (13:21:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/09/26 (13:25:06) | ===> btop++ v.1.4.0
2025/09/26 (13:25:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/09/29 (08:11:15) | ===> btop++ v.1.4.0
2025/09/29 (08:11:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/09/29 (17:51:25) | ===> btop++ v.1.4.0
2025/09/29 (17:51:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/09/29 (17:53:29) | ===> btop++ v.1.4.0
2025/09/29 (17:53:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/09/29 (17:53:52) | ===> btop++ v.1.4.0
2025/09/29 (17:53:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/10/01 (14:01:36) | ===> btop++ v.1.4.0
2025/10/01 (14:01:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/10/18 (07:55:03) | ===> btop++ v.1.4.0
2025/10/18 (07:55:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/18 (07:55:05) | WARNING: Failed to join _runner thread on exit!

2025/11/18 (11:15:33) | ===> btop++ v.1.4.0
2025/11/18 (11:15:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/11/18 (11:31:58) | ===> btop++ v.1.4.0
2025/11/18 (11:31:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/11/18 (14:14:18) | ===> btop++ v.1.4.0
2025/11/18 (14:14:18) | WARNING: Intel GPU: Failed to initialize PMU
